age,salary,gender,country,num_dependents,home_ownership,employment,marital_status,credit_card,loan_intent,loan_amt,loan_int_rate,loan_status,loan_percent_income,person_cred_hist_length,person_default_on_file
18,179000,F,USA,5,mortgage,employed,widowed,340687011111864,business,4000,5,pending,48,32,False
18,672000,M,USA,5,mortgage,employed,divorced,575049447445,personal,58000,9,rejected,41,42,True
18,398000,M,USA,0,own,employed,widowed,180073523620564,personal,96000,9,pending,7,26,True
18,750000,F,USA,3,mortgage,employed,widowed,3504586995397117,business,58000,3,pending,39,13,True
18,858000,F,USA,2,own,employed,single,3573395727482858,business,53000,6,approved,48,24,True
18,948000,F,USA,4,rent,employed,married,4974528316475379,personal,85000,8,pending,44,48,False
18,257000,F,USA,10,rent,employed,married,2258176850785281,personal,41000,1,approved,24,49,False
18,605000,M,USA,3,rent,employed,single,3561398640729946,personal,27000,8,rejected,32,21,True
18,521000,M,USA,7,rent,employed,divorced,3554507774528507,business,18000,2,pending,45,16,True
18,703000,M,USA,7,rent,employed,divorced,4609213434297,business,66000,6,approved,27,48,True
18,134000,M,USA,9,rent,employed,divorced,6011309559376594,personal,77000,8,rejected,10,42,False
18,578000,M,USA,0,mortgage,employed,divorced,3562707855802629,business,61000,7,rejected,34,22,False
18,156000,M,USA,9,mortgage,employed,single,4015713652521,personal,83000,3,rejected,25,22,True
18,709000,F,USA,10,mortgage,employed,single,5100520227812422,personal,96000,10,pending,34,28,True
18,127000,F,USA,0,rent,employed,single,5358665093208251,business,96000,7,pending,2,15,True
18,516000,M,USA,8,rent,employed,widowed,4564165338145056442,personal,74000,2,rejected,40,44,True
18,566000,M,USA,7,own,employed,divorced,4120575128681902710,business,83000,4,rejected,37,42,False
18,522000,M,USA,7,own,employed,widowed,373601622208563,business,21000,1,pending,26,41,True
18,977000,F,USA,1,rent,employed,single,4514126364847891,business,97000,3,approved,28,17,False
18,117000,M,USA,3,rent,employed,divorced,6011320113306043,business,21000,6,approved,27,13,False
18,936000,M,USA,10,own,employed,single,571301144861,personal,23000,3,rejected,42,45,False
18,894000,M,USA,10,mortgage,employed,divorced,378140315008142,personal,37000,10,approved,49,2,True
18,902000,M,USA,8,own,employed,divorced,4881921510164148408,business,6000,5,pending,14,11,True
18,635000,M,USA,2,own,employed,married,3586148769559686,business,4000,10,pending,1,18,False
18,751000,M,USA,4,mortgage,employed,divorced,676205356766,business,26000,7,approved,1,50,False
18,731000,F,USA,3,own,employed,widowed,180053512159535,business,38000,9,approved,9,18,False
18,80000,F,USA,8,rent,employed,married,38794333018855,personal,98000,10,rejected,21,28,False
18,367000,F,USA,6,own,employed,divorced,6501466585106184,personal,4000,2,rejected,13,6,True
18,548000,M,USA,7,mortgage,employed,married,4452993580804657,business,30000,3,approved,24,2,True
18,649000,F,USA,8,rent,employed,divorced,4189186211857,personal,59000,7,approved,50,3,False
18,496000,F,USA,4,rent,employed,divorced,3546030925559108,personal,17000,1,pending,49,11,True
18,718000,M,USA,3,rent,employed,single,2228602826404738,personal,42000,10,rejected,12,7,False
18,119000,F,USA,6,own,employed,married,4076497869418,personal,30000,3,approved,5,29,True
18,607000,F,USA,8,rent,employed,single,4581984725130,business,99000,3,approved,47,19,True
18,738000,M,USA,3,own,employed,married,6011937209543179,personal,99000,6,pending,31,19,False
18,727000,F,USA,4,own,employed,divorced,38803240561715,personal,66000,2,rejected,1,20,True
18,468000,F,USA,8,own,employed,married,30247988339322,business,97000,8,pending,41,23,False
18,169000,M,USA,1,mortgage,employed,divorced,3531387919467947,personal,42000,7,approved,22,28,False
18,105000,F,USA,4,mortgage,employed,married,3515452740880534,business,21000,9,rejected,29,10,False
18,743000,M,USA,1,rent,employed,married,3584638377697888,personal,44000,8,pending,37,42,True
18,209000,F,USA,0,rent,employed,single,180011143977766,business,83000,9,approved,9,13,False
18,350000,M,USA,1,mortgage,employed,divorced,378475557391776,business,93000,8,pending,44,17,False
18,449000,F,USA,0,own,employed,married,4144507150741521,personal,28000,1,pending,19,29,True
18,240000,F,USA,1,mortgage,employed,single,4645457281366,business,95000,6,pending,34,40,False
18,531000,F,USA,2,rent,employed,married,4302104035148588749,personal,10000,8,rejected,17,9,False
18,900000,M,USA,6,mortgage,employed,widowed,6011079599729082,personal,95000,2,pending,17,20,True
18,207000,M,USA,8,rent,employed,married,4393534553702049022,business,91000,7,rejected,17,40,False
18,789000,M,USA,2,rent,employed,widowed,676130832303,personal,31000,8,approved,41,12,False
18,507000,F,USA,9,own,employed,divorced,4413896467209551,business,57000,1,rejected,41,9,False
18,572000,M,USA,6,rent,employed,divorced,373159526944742,personal,58000,9,approved,41,24,False
18,323000,F,USA,7,rent,employed,single,3506070066858628,personal,14000,1,pending,21,36,True
18,254000,M,USA,5,own,employed,single,213155745557459,business,18000,4,rejected,4,4,True
18,326000,M,USA,1,rent,employed,married,213117041635637,personal,46000,10,approved,23,38,False
18,791000,M,USA,1,own,employed,single,4076241719075,personal,55000,10,approved,14,17,False
18,852000,F,USA,1,own,employed,divorced,4033390056213929380,personal,57000,8,rejected,30,10,False
18,215000,F,USA,8,rent,employed,married,4269193251140258,business,54000,5,pending,42,1,False
18,90000,F,USA,6,rent,employed,single,213123773456010,business,81000,5,pending,45,10,False
18,40000,F,USA,1,mortgage,employed,single,2631983372922179,business,75000,2,approved,12,23,False
18,960000,M,USA,8,mortgage,employed,widowed,2230516064882098,personal,8000,3,pending,44,21,True
18,164000,M,USA,10,rent,employed,widowed,4432476846830139566,personal,69000,6,rejected,5,25,False
18,798000,M,USA,8,rent,employed,widowed,4676089741428738070,personal,69000,2,rejected,33,24,False
18,525000,M,USA,4,own,employed,married,3506825898239317,business,94000,9,approved,11,15,False
18,623000,F,USA,4,rent,employed,widowed,6011495802505533,personal,87000,1,rejected,21,15,True
18,752000,M,USA,6,own,employed,widowed,3560574916332398,personal,76000,4,pending,46,6,True
18,753000,F,USA,0,mortgage,employed,divorced,4135207997868913094,personal,16000,9,approved,40,40,False
18,283000,F,USA,3,mortgage,employed,divorced,6565843044533773,personal,88000,4,approved,48,5,False
18,738000,F,USA,7,mortgage,employed,single,2247099612913245,personal,83000,10,rejected,49,21,False
18,144000,M,USA,7,mortgage,employed,married,675903078698,business,49000,3,approved,24,5,False
18,25000,F,USA,4,own,employed,married,676291181797,personal,50000,2,pending,50,24,False
18,801000,M,USA,10,mortgage,employed,single,3509159900626528,personal,45000,4,rejected,15,29,True
18,134000,F,USA,7,rent,employed,widowed,6011157435767969,business,93000,2,approved,35,1,False
19,977000,F,USA,8,mortgage,employed,single,4098977050368,business,34000,9,approved,34,6,False
19,423000,F,USA,3,own,employed,single,2720253947962353,business,37000,8,approved,9,41,False
19,949000,F,USA,9,mortgage,employed,married,3509799374075759,business,85000,3,rejected,20,13,False
19,762000,F,USA,9,rent,employed,widowed,3530229826973768,personal,17000,4,approved,15,21,False
19,508000,F,USA,6,mortgage,employed,widowed,4406076254244009,business,47000,3,pending,8,46,True
19,858000,M,USA,1,rent,employed,married,4509794867530590,business,15000,9,approved,22,16,False
19,173000,F,USA,3,rent,employed,widowed,4331946729311,business,10000,7,approved,3,44,False
19,431000,M,USA,4,own,employed,widowed,4100953435926,business,10000,2,approved,48,8,False
19,756000,F,USA,6,mortgage,employed,married,30043694710355,personal,44000,7,pending,2,36,True
19,397000,M,USA,3,rent,employed,divorced,3573693237802593,personal,97000,9,pending,38,4,False
19,554000,F,USA,8,mortgage,employed,married,4895267184769,personal,59000,6,approved,39,29,True
19,846000,F,USA,10,rent,employed,married,4736604373754458,business,52000,8,approved,47,22,False
19,777000,M,USA,8,mortgage,employed,widowed,213191524671468,personal,92000,4,rejected,47,50,True
19,504000,F,USA,6,mortgage,employed,divorced,676287704768,business,76000,10,rejected,41,14,True
19,521000,M,USA,6,own,employed,married,371582103840177,personal,34000,5,approved,8,40,True
19,783000,M,USA,10,rent,employed,married,6011650365673538,personal,17000,7,rejected,50,8,True
19,864000,F,USA,10,own,employed,single,4456889575171,business,38000,2,pending,14,42,False
19,750000,M,USA,0,mortgage,employed,married,30309127240884,personal,58000,2,approved,33,32,False
19,707000,F,USA,10,rent,employed,widowed,3528565010795242,business,40000,7,pending,47,40,True
19,610000,F,USA,4,own,employed,married,3525202808381505,personal,21000,2,approved,32,40,False
19,208000,M,USA,4,rent,employed,married,4017644111939084114,business,100000,10,rejected,12,44,True
19,411000,M,USA,0,rent,employed,divorced,4709270927243894,business,90000,8,approved,35,18,True
19,687000,F,USA,2,rent,employed,married,3584194695773704,personal,80000,1,approved,23,11,True
19,370000,F,USA,1,own,employed,single,4312838292048,business,48000,10,approved,10,24,False
19,458000,F,USA,3,rent,employed,single,4368707402815224259,personal,48000,9,rejected,38,25,True
19,618000,M,USA,2,own,employed,widowed,5167114528535963,personal,32000,1,approved,22,12,True
19,125000,F,USA,8,rent,employed,married,30187768221185,business,10000,2,approved,39,49,True
19,985000,F,USA,7,own,employed,widowed,213101982325770,personal,67000,10,pending,42,38,False
19,181000,M,USA,5,rent,employed,divorced,3505229241246023,personal,83000,3,approved,41,23,True
19,576000,M,USA,8,own,employed,divorced,502046203894,personal,9000,9,approved,20,30,True
19,447000,M,USA,2,own,employed,married,213172716452552,personal,43000,8,approved,19,43,True
19,276000,M,USA,4,rent,employed,widowed,562312058901,personal,34000,4,approved,43,23,False
19,586000,F,USA,9,own,employed,divorced,4501103221704,personal,39000,7,rejected,29,47,False
19,441000,M,USA,3,rent,employed,married,4085885490620618,business,23000,2,approved,19,40,False
19,815000,M,USA,7,rent,employed,divorced,30165525229881,business,31000,6,pending,47,2,True
19,170000,M,USA,9,rent,employed,married,3523812810909465,business,46000,6,approved,50,33,False
19,892000,F,USA,3,own,employed,married,3508166802010058,personal,30000,6,approved,23,46,False
19,254000,F,USA,9,mortgage,employed,widowed,30320871872350,business,18000,4,rejected,43,50,False
19,751000,F,USA,8,mortgage,employed,divorced,376986425107592,personal,78000,6,approved,33,34,False
19,20000,M,USA,1,own,employed,single,4254757112244355,personal,62000,7,pending,24,38,True
19,604000,F,USA,7,own,employed,single,3587866103353172,business,13000,5,rejected,15,26,True
19,958000,F,USA,10,own,employed,single,341813731997759,personal,17000,5,rejected,15,20,False
19,11000,F,USA,5,rent,employed,single,2274950918447286,business,45000,10,rejected,40,41,True
19,160000,M,USA,1,rent,employed,divorced,4742759465832116587,business,25000,8,rejected,27,17,False
19,670000,M,USA,0,mortgage,employed,married,4601881473870523,business,93000,6,rejected,41,46,True
19,804000,M,USA,6,mortgage,employed,single,4278446963714563821,business,20000,5,rejected,25,2,False
19,100000,M,USA,0,mortgage,employed,married,4820475187231273,personal,49000,10,pending,2,21,False
19,980000,F,USA,6,own,employed,divorced,3523781522531364,personal,99000,5,approved,40,30,False
19,343000,M,USA,8,rent,employed,divorced,4913479268189386142,business,63000,1,approved,32,8,False
19,501000,M,USA,6,own,employed,single,3577570265892496,business,57000,9,rejected,8,43,True
19,442000,M,USA,6,mortgage,employed,married,4474292575367684413,personal,83000,6,pending,17,4,False
19,654000,M,USA,9,mortgage,employed,single,3559469137414922,business,98000,7,approved,43,34,False
19,935000,F,USA,9,mortgage,employed,single,377622169361934,business,3000,2,approved,44,15,False
19,601000,F,USA,1,rent,employed,divorced,503837103913,business,96000,2,pending,39,1,False
19,500000,F,USA,3,rent,employed,divorced,180012068524492,personal,41000,1,pending,45,4,False
19,993000,M,USA,10,mortgage,employed,married,4163915165049,business,17000,3,approved,35,48,True
19,540000,F,USA,4,own,employed,single,3556662061114905,personal,61000,1,rejected,4,1,False
19,819000,M,USA,7,mortgage,employed,divorced,4515682711901,business,62000,1,rejected,28,33,True
19,331000,M,USA,4,own,employed,widowed,501860334629,personal,63000,7,rejected,28,42,False
19,175000,M,USA,7,own,employed,married,3505723424512664,personal,18000,3,pending,39,49,True
19,175000,M,USA,4,own,employed,divorced,6011836290781278,business,6000,5,approved,31,17,False
19,1000000,F,USA,9,mortgage,employed,married,343268683429509,business,53000,1,pending,5,44,False
19,49000,M,USA,6,mortgage,employed,single,2720146759163310,business,24000,6,rejected,6,4,False
19,516000,F,USA,4,rent,employed,married,4490747878799803,personal,94000,9,approved,48,38,False
19,26000,F,USA,8,mortgage,employed,widowed,36167301202573,personal,50000,4,rejected,4,21,True
19,949000,M,USA,0,rent,employed,single,6563272510169684,personal,79000,4,pending,26,43,True
19,867000,F,USA,4,rent,employed,single,213148656065117,personal,15000,7,pending,50,11,False
19,890000,F,USA,8,mortgage,employed,divorced,348646012786613,business,25000,4,rejected,25,14,True
19,449000,M,USA,4,mortgage,employed,widowed,2291043239675311,personal,57000,1,pending,4,29,True
19,317000,F,USA,10,own,employed,divorced,213178316750253,business,84000,10,pending,20,12,False
19,233000,F,USA,1,rent,employed,divorced,213142113667433,personal,96000,9,approved,29,30,False
19,15000,F,USA,0,mortgage,employed,single,4091338017691540,business,49000,5,pending,16,9,True
19,790000,F,USA,5,rent,employed,widowed,4891835102763,personal,51000,5,rejected,38,11,True
19,537000,M,USA,5,own,employed,divorced,30510359310630,business,72000,3,approved,21,38,True
19,604000,F,USA,8,own,employed,widowed,3574330256953010,business,73000,1,pending,14,46,True
19,407000,M,USA,2,own,employed,divorced,4612788577854,business,22000,2,pending,9,21,False
19,112000,F,USA,10,mortgage,employed,married,3537411306769808,personal,47000,5,rejected,19,31,True
19,971000,M,USA,6,mortgage,employed,divorced,3553705039388789,business,83000,8,approved,23,15,False
20,986000,M,USA,7,mortgage,employed,divorced,3502675406041984,personal,13000,6,rejected,14,49,True
20,868000,F,USA,9,mortgage,employed,married,4850322951488,business,69000,6,rejected,42,2,True
20,104000,M,USA,6,own,employed,single,4074005642344,business,63000,2,rejected,35,37,False
20,25000,M,USA,10,rent,employed,single,180069459870710,business,18000,10,rejected,21,30,False
20,133000,F,USA,9,rent,employed,widowed,4689707457880755,business,53000,2,approved,50,26,False
20,512000,F,USA,8,mortgage,employed,married,30323824073415,business,23000,3,rejected,7,41,True
20,879000,M,USA,2,own,employed,widowed,6522111086824373,business,50000,1,approved,33,49,False
20,860000,M,USA,7,mortgage,employed,married,4220391607936639,business,17000,2,rejected,45,44,False
20,522000,F,USA,5,own,employed,divorced,584120919264,personal,53000,1,rejected,44,47,False
20,877000,F,USA,9,mortgage,employed,divorced,3573552672019271,personal,13000,10,rejected,3,26,True
20,908000,F,USA,7,own,employed,married,30485741597006,business,63000,9,rejected,46,6,True
20,520000,M,USA,9,mortgage,employed,widowed,060447128293,personal,3000,6,pending,18,36,False
20,771000,M,USA,9,mortgage,employed,married,4501389342971333,personal,22000,3,rejected,6,20,False
20,856000,F,USA,7,own,employed,widowed,676222304799,business,15000,7,approved,11,48,False
20,599000,F,USA,2,mortgage,employed,widowed,36398513336590,business,69000,7,rejected,25,7,True
20,344000,F,USA,5,mortgage,employed,divorced,180074900983625,business,31000,1,approved,6,47,True
20,120000,F,USA,1,mortgage,employed,married,4587630313858,business,19000,6,rejected,31,37,True
20,416000,F,USA,10,mortgage,employed,single,4408482343925509,business,43000,9,pending,40,45,True
20,416000,F,USA,8,mortgage,employed,widowed,6549236447117347,business,1000,10,approved,50,8,True
20,556000,F,USA,7,mortgage,employed,married,503829347205,business,64000,6,rejected,27,28,True
20,642000,M,USA,2,rent,employed,married,4603259073207867,personal,28000,4,rejected,3,3,True
20,129000,M,USA,0,rent,employed,single,4644723437092,personal,28000,9,pending,23,23,True
20,899000,F,USA,9,rent,employed,single,4979369085478,personal,70000,2,approved,27,48,False
20,743000,M,USA,9,own,employed,married,4618451484478002756,personal,38000,3,rejected,5,23,True
20,260000,M,USA,9,rent,employed,single,213162917258304,business,7000,1,pending,1,21,False
20,421000,F,USA,10,rent,employed,divorced,4353193432853776,personal,26000,2,pending,30,20,True
20,191000,M,USA,10,own,employed,married,38279643257625,personal,62000,7,pending,29,13,True
20,722000,F,USA,5,rent,employed,single,180074727190818,personal,84000,3,pending,49,29,False
20,523000,M,USA,2,mortgage,employed,widowed,6011494047738298,business,83000,5,approved,29,34,True
20,475000,F,USA,9,mortgage,employed,widowed,4604865448257,personal,41000,4,rejected,7,44,False
20,430000,M,USA,8,mortgage,employed,divorced,4729873054423,personal,31000,3,approved,17,19,True
20,838000,M,USA,9,rent,employed,married,378141990914570,business,51000,10,rejected,12,27,True
20,560000,F,USA,9,rent,employed,divorced,30405009426896,personal,47000,8,pending,30,24,True
20,463000,M,USA,4,own,employed,single,2705059434019527,business,83000,9,approved,23,23,True
20,542000,F,USA,3,own,employed,single,3545464223309927,business,36000,10,rejected,3,3,False
20,694000,F,USA,10,mortgage,employed,divorced,2481511191217132,business,94000,9,pending,29,39,True
20,578000,F,USA,7,rent,employed,widowed,38347413510042,business,16000,10,pending,13,30,False
20,88000,F,USA,7,mortgage,employed,widowed,342288626904195,personal,9000,10,rejected,31,41,False
20,854000,M,USA,1,mortgage,employed,single,503864997252,personal,15000,9,rejected,21,38,False
20,326000,M,USA,4,rent,employed,divorced,180032692918761,personal,28000,8,approved,33,44,False
20,294000,M,USA,8,own,employed,married,344878591631043,business,69000,10,rejected,1,34,False
20,137000,F,USA,4,rent,employed,divorced,5499950332943821,personal,35000,10,approved,48,15,False
20,923000,F,USA,0,own,employed,widowed,3508883875302283,personal,48000,10,approved,21,12,False
20,190000,F,USA,6,mortgage,employed,married,4048395400805104122,personal,85000,6,approved,16,23,False
20,187000,M,USA,5,own,employed,divorced,6504957394291388,business,47000,8,rejected,17,36,False
20,575000,F,USA,5,own,employed,married,5593627446337588,personal,16000,10,approved,13,45,False
20,76000,F,USA,7,own,employed,divorced,4052439039353239,business,18000,10,approved,36,38,True
20,619000,M,USA,2,rent,employed,widowed,6011922626377955,personal,85000,1,pending,5,21,False
20,286000,M,USA,0,own,employed,single,4651416442958,business,53000,1,pending,6,41,False
20,590000,F,USA,6,mortgage,employed,divorced,30266306331456,personal,45000,9,rejected,11,43,True
20,13000,M,USA,3,rent,employed,single,4204916035146458,business,57000,7,rejected,14,44,False
20,745000,M,USA,4,mortgage,employed,widowed,3547138323295453,personal,25000,7,pending,9,5,False
20,1000000,F,USA,0,own,employed,single,4787574397853216012,personal,10000,7,pending,26,36,True
20,340000,F,USA,9,rent,employed,divorced,213173618010688,business,66000,2,rejected,31,18,False
