age,salary,gender,country,num_dependents,home_ownership,employment,marital_status,credit_card,loan_intent,loan_amt,loan_int_rate,loan_status,loan_percent_income,person_cred_hist_length,person_default_on_file
31,935000,M,USA,2,rent,self-employed,divorced,213116748375646,personal,6000,3,pending,27,19,False
31,496000,F,USA,9,mortgage,employed,divorced,4220019736179399348,business,72000,10,rejected,45,34,False
31,493000,F,USA,0,own,unemployed,single,30288779367569,business,54000,10,pending,40,24,True
31,441000,M,USA,5,rent,employed,divorced,30307880572535,business,17000,5,rejected,21,33,True
31,462000,F,USA,10,own,self-employed,divorced,4189111669576764935,personal,10000,10,rejected,19,29,False
31,882000,F,USA,10,rent,employed,single,3574768557377985,business,70000,1,pending,1,32,False
31,904000,M,USA,8,mortgage,self-employed,divorced,4547720848516078976,business,59000,2,pending,19,6,True
31,72000,F,USA,3,mortgage,self-employed,widowed,30412452812200,personal,10000,6,pending,32,12,True
31,73000,F,USA,6,own,unemployed,widowed,375267050270943,business,55000,1,pending,48,38,False
31,935000,F,USA,2,own,self-employed,single,3567787671601475,personal,88000,2,rejected,44,11,False
31,736000,F,USA,4,rent,employed,married,4980418265058545,business,12000,6,pending,41,28,False
31,181000,F,USA,1,own,self-employed,divorced,4628637283666355,personal,72000,3,pending,8,6,True
31,178000,M,USA,9,mortgage,self-employed,single,180086607417863,personal,37000,7,pending,42,11,True
31,788000,F,USA,3,own,self-employed,married,571214137077,personal,86000,5,pending,48,13,True
31,414000,F,USA,1,own,employed,widowed,213182375140182,personal,25000,4,rejected,7,26,True
31,691000,F,USA,10,mortgage,self-employed,widowed,370468739757830,business,15000,10,approved,44,33,True
31,32000,F,USA,9,mortgage,self-employed,divorced,3502027076430255,business,29000,4,rejected,36,6,True
31,368000,F,USA,2,mortgage,unemployed,single,4904485674355054,business,82000,8,rejected,47,10,False
31,420000,F,USA,9,mortgage,self-employed,single,6588214286841212,personal,26000,5,rejected,15,3,True
31,915000,M,USA,4,own,unemployed,single,30591993448994,personal,76000,6,rejected,28,12,False
31,98000,M,USA,6,mortgage,unemployed,married,4728443699185567878,personal,59000,9,rejected,17,2,False
31,195000,F,USA,8,rent,self-employed,married,180055348255320,business,47000,7,rejected,49,28,False
31,971000,M,USA,8,own,self-employed,divorced,4622910289385460,personal,64000,3,rejected,37,9,True
31,386000,F,USA,9,own,self-employed,widowed,348245270155239,business,50000,5,rejected,5,42,False
31,174000,F,USA,0,rent,employed,single,4043645413391585,personal,35000,2,pending,10,24,True
31,114000,F,USA,8,own,self-employed,married,180068557392148,business,14000,5,approved,13,37,True
31,123000,M,USA,0,rent,unemployed,widowed,3511384740728302,personal,61000,3,approved,26,34,True
31,791000,F,USA,8,mortgage,unemployed,divorced,213137158308174,business,45000,1,approved,27,47,False
31,615000,M,USA,10,own,unemployed,single,4361405200969786,personal,97000,1,rejected,25,35,True
31,763000,F,USA,9,mortgage,self-employed,divorced,6011842095812268,personal,59000,6,rejected,35,11,True
31,539000,M,USA,6,rent,self-employed,widowed,3583317184166871,business,17000,1,pending,19,29,True
31,796000,M,USA,8,mortgage,self-employed,divorced,4274423445803047,personal,81000,4,approved,21,5,False
31,706000,F,USA,7,rent,self-employed,widowed,3546198929905898,personal,15000,6,approved,1,13,False
31,60000,M,USA,9,mortgage,unemployed,single,4798817015102880529,personal,68000,10,approved,28,48,True
31,680000,M,USA,9,own,employed,single,38193597404002,business,77000,2,pending,23,43,False
31,194000,F,USA,8,rent,unemployed,single,4605348002125153337,personal,100000,8,approved,31,37,True
31,347000,M,USA,1,mortgage,unemployed,single,3579415909998317,business,49000,10,rejected,26,26,False
31,212000,M,USA,7,own,unemployed,divorced,4372492332883330,business,80000,2,approved,18,45,True
31,82000,F,USA,3,mortgage,unemployed,divorced,3565790352595935,business,38000,2,pending,44,28,False
31,945000,F,USA,8,mortgage,self-employed,divorced,30352753726016,personal,89000,5,approved,21,50,False
31,775000,F,USA,8,own,unemployed,divorced,4106118035949,business,57000,6,rejected,42,5,False
31,281000,F,USA,9,own,unemployed,divorced,6555666521188783,business,45000,10,pending,43,7,False
31,722000,M,USA,7,own,employed,widowed,213140383863229,personal,43000,8,rejected,15,50,False
31,744000,F,USA,10,mortgage,unemployed,widowed,180051036061179,business,43000,3,rejected,20,43,True
31,519000,F,USA,4,mortgage,employed,divorced,4872693417372454,personal,79000,2,pending,41,21,False
31,962000,F,USA,4,rent,unemployed,widowed,4116070862451441248,personal,63000,3,pending,34,49,False
31,838000,M,USA,2,own,self-employed,widowed,4569754811512125,business,93000,9,pending,6,11,True
31,794000,M,USA,5,mortgage,self-employed,widowed,570646260168,personal,39000,4,pending,28,8,True
31,40000,F,USA,9,mortgage,unemployed,widowed,6011703703222128,personal,80000,6,rejected,3,48,False
31,815000,F,USA,4,own,unemployed,single,3562558408267376,personal,65000,10,rejected,35,14,True
31,141000,M,USA,9,own,employed,single,578410923523,personal,80000,9,pending,48,11,False
31,821000,F,USA,4,mortgage,self-employed,widowed,213130824147217,business,41000,1,approved,27,5,False
31,396000,M,USA,7,mortgage,unemployed,widowed,3581122211687150,personal,89000,4,rejected,27,7,False
31,42000,F,USA,1,mortgage,self-employed,married,4316691691058520,personal,19000,7,approved,50,29,False
31,83000,F,USA,9,own,employed,single,30525421859331,business,69000,9,approved,37,11,False
31,171000,M,USA,2,rent,employed,single,213169818269611,personal,46000,9,pending,47,2,False
31,37000,F,USA,8,own,unemployed,divorced,2288502442715359,personal,5000,5,approved,9,50,True
31,283000,F,USA,7,mortgage,unemployed,married,30553339346548,personal,92000,3,pending,44,22,False
31,290000,M,USA,9,own,unemployed,married,3581745073223449,business,42000,2,pending,27,19,False
31,622000,F,USA,7,own,unemployed,divorced,6011361089711956,personal,75000,5,approved,17,13,True
31,555000,M,USA,7,rent,self-employed,single,30306705938186,business,36000,2,approved,26,23,False
31,565000,M,USA,4,rent,self-employed,single,3581331362219412,business,90000,3,approved,9,48,True
31,45000,M,USA,3,rent,unemployed,divorced,3535281705525867,personal,9000,10,approved,34,41,False
31,17000,F,USA,2,mortgage,unemployed,widowed,3527925999643212,personal,29000,2,pending,14,38,False
31,69000,M,USA,5,mortgage,self-employed,single,2225839717263327,personal,74000,9,approved,42,19,True
31,694000,M,USA,3,mortgage,employed,married,3537355703342596,personal,38000,8,rejected,29,48,True
31,802000,F,USA,1,mortgage,employed,widowed,3556420503311021,business,42000,10,approved,45,46,False
31,279000,F,USA,1,mortgage,self-employed,married,4517245901534346,personal,91000,3,pending,25,35,False
31,551000,F,USA,1,mortgage,employed,single,3565518682436839,business,34000,5,approved,35,33,False
31,764000,F,USA,7,rent,unemployed,married,349907823976390,business,52000,7,pending,26,5,False
31,492000,M,USA,6,mortgage,employed,married,3513963233574113,business,22000,2,rejected,48,12,False
31,33000,M,USA,5,own,self-employed,divorced,6011674443691171,personal,9000,5,pending,29,24,False
31,581000,M,USA,3,rent,unemployed,married,4525910397770676,personal,82000,10,approved,9,26,False
31,189000,M,USA,8,mortgage,unemployed,married,377630872048177,business,50000,6,approved,21,16,False
31,372000,M,USA,3,own,employed,widowed,4950879375351720525,business,77000,9,rejected,31,49,False
31,913000,M,USA,8,rent,self-employed,divorced,571013091624,personal,24000,7,approved,41,7,False
31,415000,F,USA,5,own,employed,single,6543084842322468,business,80000,2,pending,44,29,True
31,83000,M,USA,4,rent,employed,single,4272516822728844,business,86000,10,rejected,26,44,True
31,148000,F,USA,0,own,self-employed,married,3524540644157360,personal,26000,2,approved,33,44,True
31,696000,F,USA,9,own,employed,divorced,3515370715196670,personal,58000,8,approved,12,30,True
31,655000,M,USA,0,rent,employed,widowed,180071938725143,personal,100000,5,pending,47,21,False
31,50000,F,USA,9,rent,employed,single,4257255338721766,business,75000,6,rejected,45,17,False
31,590000,M,USA,10,rent,self-employed,single,38573880190626,personal,79000,8,approved,45,22,False
31,184000,F,USA,8,own,unemployed,divorced,6011712525370452,business,42000,4,rejected,27,40,True
31,683000,F,USA,0,mortgage,employed,married,5571583908657110,personal,17000,4,rejected,26,5,False
31,262000,F,USA,2,rent,employed,single,30267991559344,personal,95000,4,rejected,30,38,False
31,844000,M,USA,8,mortgage,unemployed,divorced,4803896719652127,business,7000,5,rejected,32,30,True
31,661000,M,USA,2,own,unemployed,divorced,4263917427964621,personal,31000,1,rejected,12,22,True
31,158000,F,USA,3,rent,employed,single,4671714176364764,personal,4000,6,pending,23,39,True
31,173000,M,USA,6,mortgage,self-employed,married,3541632300870888,business,60000,4,pending,48,50,False
31,843000,M,USA,4,mortgage,employed,widowed,3530476490399701,personal,83000,9,pending,34,11,False
